ID,First Name,Second Name,Address,Phone,Email,User Name,Pass,Pin,User Status,Parking Slot,Node,Record Status
1,Oliver,Smith,"100 Noname St, Toronto, A0A 0A0",(416) 456-4565,OS@ggmmail,OS,O1234,1234,ON,1,2,ON
2,George,Johnson,"100 Noname St, Toronto, A0A 0A0",(647) 814-3746,GJ@ggmmail,GJ,G2345,2345,ON,2,4,ON
3,Olivia,Willams,"100 Noname St, Toronto, A0A 0A0",(647) 432-1234,OW@ggmmail,OW,O3456,3456,OFF,3,6,ON
4,Emily,Brown,"100 Noname St, Toronto, A0A 0A0",(416) 123-4567,EmilyB@ggmmail,EmilyB,Emily4567,4567,ON,4,7,ON
5,Harry,Brown,"100 Noname St, Toronto, A0A 0A0",(416) 000-0000,HB@ggmmail,HB,HB5678,5678,ON,5,2,OFF
6,Leo,Jones,"100 Noname St, Toronto, A0A 0A0",(416) 123-4567,LeoJ@ggmmail,LeoJ,Leo6789,6789,ON,6,2,ON
7,Jack,Miller,"100 Noname St, Toronto, A0A 0A0",(647) 432-1234,JMiller@ggmmail,JMIL,J7890,7890,ON,7,2,ON
8,Grace,Miller,"100 Noname St, Toronto, A0A 0A0",(416) 123-4567,Grace@ggmmail,gr,8901gr,8901,ON,1,4,ON
9,Jacob,Miller,"100 Noname St, Toronto, A0A 0A0",(647) 432-1234,JacobM@ggmmail,JacM,9012,9012,OFF,2a,4,ON
10,George,Lopez,"100 Noname St, Toronto, A0A 0A0",(647) 000-0000,Lopez@ggmmail,Lop,L1000,1000,ON,3-c,4,ON
11,Ivan,Ivanov,"100 Noname St, Toronto, A0A 0A0",(416) 123-4567,Ivanov@ggmmail,Ivan,Ivan1100,1100,ON,4,0,ON
12,Charlie,Jackson,"100 Noname St, Toronto, A0A 0A0",(647) 432-1234,CJack@ggmmail,Cjack,1200CJ,1200,ON,5,4,ON
13,Sophia,Jackson,"100 Noname St, Toronto, A0A 0A0",(647) 432-1234,S@ggmmail,Sos,S1300,1300,ON,6,6,ON
14,Oliver,Perez,"100 Noname St, Toronto, A0A 0A0",(416) 123-4567,OPerez@ggmmail,OPPa,OP1400,1400,ON,10,6,ON
15,Greg,Kamensky,"100 Noname St, Toronto, A0A 0A0",(647) 000-0000,PeterM@ggmmail,PetrM,1500Minsky,1500,ON,7,77,OFF
16,Greg,Kamensky,"100 Noname St, Toronto, A0A 0A0",(647) 000-0000,PeterM@ggmmail,PetrM,1500Minsky,1500,ON,7,7,ON
17,Peter,Jensen,"100 Noname St, Toronto, A0A 0A0",(647) 432-1234,PeterM@ggmmail,PetrM,Jensn_22,1500,ON,12,7,ON
